Cal_Ages_BP;PIPSO25
49,9957;0,584522485
110,411;0,337986497
170,8247;0,316528158
231,2385;0,445317948
291,6523;0,564107455
352,0661;0,285397841
412,4798;0,089110038
472,8936;0,020436644
533,3074;0,038268691
593,7212;0,399503186
654,1349;0,670868395
714,5487;0,367754255
774,9625;0,327155685
835,3763;0,476382898
895,79;0,433366704
956,2038;0,455729054
1016,618;0,454627894
1077,031;0,385143489
1137,445;0,477724181
1197,859;0,386626447
1258,273;0,511893217
1439,514;0,49819813
1499,928;0,494254943
1681,169;0,449433619
1801,997;0,578934854
1922,824;0,668952613
2043,652;0,608409051
2164,479;0,529061312
2345,721;0,71964226
2466,548;0,621629444
2647,789;0,592181382
2829,031;0,64827743
2935,11;0,671273517
3027,864;0,592493345
3132,573;0,659887824
3261,191;0,681323167
3346,937;0,693382029
3432,682;0,694265651
3561,301;0,637818866
3647,047;0,376058649
3775,665;0,615726277
3904,284;0,82864506
3990,029;0,64589939
4032,902;0,647196119
4118,648;0,750063301
4183,143;0,581085992
4248,008;0,686068673
4291,251;0,540870775
4352,576;0,559939965
4471,686;0,651742624
4551,092;0,513571409
4670,202;0,642263071
4749,608;0,470366395
4868,717;0,672790243
4908,42;0,715952567
4987,827;0,70459845
5027,53;0,544354966
5106,936;0,583123959
5186,342;0,622424018
5226,046;0,331374477
5265,749;0,319335575
5345,155;0,238799526
5384,858;0,377020705
5538,394;0,43412939
5824,269;0,681398079
5882,478;0,78145332
5998,896;0,777708074
6057,105;0,565752988
6173,523;0,660992737
6231,732;0,692914488
6348,15;0,69475818
6406,359;0,347287948
6522,777;0,257539593
6580,986;0,442615795
6697,404;0,785381055
6755,613;0,718612099
6872,031;0,673365086
6930,24;0,694563522
7046,657;0,780798153
7104,866;0,591245831
7221,284;0,558349305
7279,493;0,480716038
7395,911;0,512191552
7454,12;0,52128074
7570,538;0,626795307
7628,747;0,659892805
7745,165;0,689240619
7803,374;0,705437441
7919,792;0,643406202
7978,001;0,661126862
8094,419;0,598721753
8152,628;0,781880505
8269,046;0,762546717
8327,255;0,608421917
8385,464;0,725897011
8443,673;0,778618573
8618,3;0,806254079
8792,927;0,792010608
8967,554;0,841206294
9142,181;0,808547845
9316,808;0,881782914
9462,331;0,843993104
9607,853;0,891599164
9753,376;0,856060199
9898,898;0,721811529
10044,42;0,874492459
10189,94;0,862090778
10335,47;0,862007229
10480,99;0,834378194
10626,51;0,940936861
10772,03;0,934906901
10917,56;0,895989612
11063,08;0,925986017
11208,6;0,866165183
11295,91;0,780912832
11383,23;0,889746457
11470,54;0,826409166
11557,85;0,895068628
11737,86;0,899038558
11825,22;0,880017219
11912,58;0,884447975
12029,06;0,915786608
12116,42;0,799844028
12203,78;0,832140483
12349,38;0,849126858
12494,98;0,890680096
12640,58;0,894406907
12786,18;0,899547465
12844,42;0,88908465
12931,78;0,966688975
13077,38;0,981995408
13222,98;0,978869088
13368,58;0,987215923
13455,94;0,957643271
13514,18;0,94128555
13659,78;1
13805,38;0,910369592
