Age	EDC__D
34	-390,9
42	-385,1
51	-377,8
60	-394,1
69	-398,7
78	-395,9
87	-395,9
97	-399,3
107	-391,4
117	-399,5
127	-402,9
137	-393,9
147	-398,6
157	-389,8
168	-394,5
178	-400,5
188	-403,6
198	-393,1
209	-410,9
220	-393,6
230	-391,1
241	-391,9
253	-396,3
264	-397
275	-404,7
287	-398,2
299	-395,2
311	-403,5
323	-398,6
335	-399,7
348	-396
360	-400,2
373	-401,6
386	-405,4
398	-399
411	-396,9
424	-394,9
436	-406,6
449	-395,2
461	-395,3
474	-399,5
487	-401
500	-393,6
513	-410,4
526	-401,3
539	-398,3
552	-388,5
565	-391,9
578	-400,8
590	-387,7
603	-401,4
615	-401
628	-387,3
640	-390,2
653	-394,5
666	-401,9
680	-399,8
694	-399,9
708	-399,1
722	-401,9
736	-404,8
751	-401,6
765	-396,7
779	-397,1
792	-394,2
806	-395,9
819	-392,7
831	-390,4
844	-389
857	-387
870	-402,3
884	-392,5
897	-404,6
912	-390,5
926	-402,3
941	-400,1
955	-399,4
970	-400,6
985	-393,8
999	-398,5
1014	-398,7
1028	-401,8
1042	-395,2
1056	-390,1
1071	-393,9
1085	-400,6
1100	-400,9
1114	-391,7
1129	-399,3
1143	-386,7
1158	-401,5
1172	-398,1
1186	-390,4
1200	-389,8
1214	-390,7
1228	-399,3
1242	-392,5
1257	-393,8
1271	-394,4
1286	-397
1301	-397,8
1315	-388,6
1330	-394,7
1345	-390,6
1359	-397
1373	-386,6
1388	-390,6
1402	-397
1417	-396,1
1433	-398,9
1448	-400,2
1464	-398,7
1480	-389,7
1495	-401,6
1511	-397,9
1527	-399,2
1542	-397,6
1558	-390,5
1574	-401,5
1589	-395,7
1606	-394,5
1622	-402,9
1638	-401
1655	-391,5
1671	-403,4
1687	-393,4
1704	-393,8
1720	-400,8
1737	-399,3
1753	-396,6
1770	-395,3
1787	-392,6
1803	-404,4
1820	-394,4
1838	-402,2
1854	-401,9
1870	-393,8
1887	-402,3
1903	-385,1
1919	-395,9
1936	-395,8
1952	-398,2
1969	-394,8
1986	-397,7
2003	-400,3
2021	-402,4
2038	-396
2056	-401,4
2073	-386,1
2090	-400,1
2107	-400,3
2124	-393,2
2141	-399,7
2159	-397,9
2177	-402
2195	-398,7
2213	-398,6
2247	-390,6
2264	-394
2282	-397,9
2299	-394,8
2318	-408,2
2338	-404,3
2358	-399,6
2378	-400,8
2397	-401,5
2416	-407,7
2435	-400,5
2454	-395,8
2473	-399,7
2492	-399,6
2510	-394,8
2528	-398,5
2546	-390,2
2564	-396,4
2582	-392,7
2600	-400,4
2618	-393,5
2635	-390,6
2653	-395,2
2672	-396,9
2690	-399,1
2709	-396,9
2727	-401
2745	-387,9
2763	-390,3
2780	-390,8
2797	-390,2
2814	-395,6
2832	-387,7
2849	-388,9
2867	-388,9
2885	-395,4
2904	-399,5
2923	-401,7
2941	-392,2
2960	-393,9
2979	-397,7
2999	-401,1
3018	-395,7
3038	-398,7
3057	-395
3076	-394,7
3094	-395,8
3113	-391,8
3150	-387,9
3170	-404,4
3190	-401,1
3210	-403,4
3231	-391,8
3252	-400,5
3272	-406,2
3293	-392,7
3313	-400
3333	-401,9
3353	-391,3
3373	-399,8
3394	-404,2
3414	-395,6
3435	-397,2
3455	-398,2
3475	-396,6
3495	-395,6
3515	-392,7
3534	-401,8
3554	-387,3
3573	-394,6
3593	-397,2
3612	-394,5
3632	-399,5
3651	-389,9
3670	-390,8
3688	-394,4
3707	-391,7
3726	-389,2
3745	-401,6
3763	-387,2
3782	-387,8
3801	-404,9
3820	-388,9
3840	-394,9
3860	-393,8
3880	-399,6
3900	-400,9
3919	-391
3939	-396,1
3959	-398,5
3979	-396,5
3999	-397,8
4019	-392,9
4039	-398,7
4058	-398,9
4077	-390,6
4096	-390,4
4115	-402,3
4135	-389,9
4154	-390,3
4174	-398,8
4193	-397,8
4212	-394,9
4232	-392,2
4251	-404,7
4270	-391,2
4288	-387,3
4307	-396,4
4326	-387
4345	-398,1
4365	-401,4
4384	-395,2
4403	-393,4
4423	-394,9
4442	-397,1
4461	-400,6
4481	-393
4500	-387,1
4518	-397,5
4536	-390,4
4555	-399,3
4575	-397,5
4595	-399,9
4614	-395
4634	-394,1
4653	-393,4
4672	-398,4
4691	-395,1
4710	-396
4730	-397,3
4749	-389,3
4768	-399,6
4788	-402,3
4807	-396,7
4827	-397,2
4847	-402
4866	-396,9
4886	-390,9
4905	-393,4
4923	-395,9
4942	-395,1
4960	-392,7
4979	-389
4998	-397,9
5017	-398,9
5036	-396,8
5055	-396,6
5074	-392,7
5093	-400,6
5113	-396,3
5132	-395,6
5150	-393,3
5169	-391,4
5187	-391,3
5206	-393,2
5224	-397,6
5243	-395,8
5262	-403,1
5281	-396,3
5300	-390,6
5319	-396
5337	-390,6
5356	-396,3
5375	-394,5
5393	-391,4
5413	-407,6
5434	-401,2
5455	-402,4
5476	-395
5496	-402,5
5517	-407,9
5536	-399,6
5555	-394,6
5574	-387,2
5593	-396,2
5612	-394
5631	-399,1
5650	-395,2
5669	-396
5689	-400,4
5707	-391,1
5726	-399,2
5745	-386,2
5763	-398,9
5781	-389
5799	-388,4
5817	-400,4
5835	-392,7
5853	-391
5872	-392,5
5891	-397,7
5910	-399,8
5930	-398,7
5950	-403,7
5970	-397,4
5990	-391,7
6009	-394,5
6027	-396,8
6046	-399,2
6066	-394
6085	-391,4
6104	-403,5
6123	-389,5
6142	-399,9
6161	-397,4
6180	-398,6
6199	-394,1
6219	-398,4
6239	-401,7
6258	-392,6
6278	-395,4
6298	-402,1
6317	-403,6
6337	-396,5
6358	-402,5
6378	-398,8
6397	-397
6416	-389,4
6434	-395
6454	-404,9
6474	-402,2
6494	-389,2
6514	-397
6534	-401,8
6554	-398,4
6574	-407,8
6594	-395,4
6615	-403,1
6635	-406,1
6654	-390,4
6673	-392,6
6692	-395,7
6712	-402,9
6732	-401,9
6752	-401,2
6772	-400,4
6791	-397,5
6810	-389,4
6828	-395,4
6846	-387,9
6865	-398,3
6884	-398,7
6904	-401,3
6924	-396,8
6943	-395,6
6963	-402,5
6983	-399,5
7003	-397,8
7023	-400,5
7044	-400,8
7064	-396,1
7084	-405,3
7105	-411,9
7127	-401,7
7149	-399,3
7171	-404,7
7191	-403,1
7212	-402,3
7232	-396,1
7251	-388,3
7270	-398,5
7290	-406,3
7311	-399,9
7332	-404,7
7353	-403,8
7374	-395
7395	-402,8
7416	-404,2
7436	-399,1
7456	-393,3
7475	-399,1
7494	-389,2
7513	-397,7
7532	-388,4
7552	-400,3
7571	-403,7
7591	-398,3
7611	-396,1
7631	-390,7
7651	-404,7
7670	-400,2
7690	-388,5
7710	-390,4
7730	-405,5
7751	-399,5
7771	-402,1
7792	-402,2
7812	-395,2
7832	-391,6
7853	-396,5
7873	-399,5
7894	-400,6
7915	-401,6
7937	-400,6
7959	-406,3
7982	-398,3
