Gas age [ka BP]	CO2 [ppmv]
0.173	280.4
0.311	274.9
0.322	277.9
0.427	279.1
0.435	281.9
0.530	277.7
0.604	281.1
0.709	282.2
0.806	280.1
0.917	278.4
0.991	276.6
1.083	279.1
1.175	277.7
1.249	278.7
1.362	277.4
1.477	279.2
1.574	280.0
1.653	278.9
1.751	278.7
1.830	278.0
1.948	276.9
2.069	276.7
2.150	276.7
2.228	277.6
2.352	277.9
2.453	273.9
2.550	278.9
2.625	275.3
2.743	274.7
2.820	276.3
2.918	274.6
3.078	276.3
3.138	273.1
3.219	274.0
3.337	275.0
3.454	273.4
3.531	273.0
3.628	271.5
3.724	275.4
3.802	274.9
3.921	271.7
4.019	271.6
4.117	272.8
4.176	271.5
4.335	271.1
4.395	269.1
4.496	269.8
4.596	271.5
4.737	270.7
4.797	269.3
4.895	268.6
5.033	269.8
5.114	267.6
5.196	265.3
5.318	265.2
5.419	267.6
5.521	265.9
5.621	265.5
5.721	260.7
5.780	266.7
5.921	265.5
6.064	263.2
6.102	262.7
6.205	261.2
6.349	261.1
6.430	259.4
6.514	262.1
6.631	262.9
6.713	258.1
6.792	257.6
6.930	262.3
7.031	263.0
7.132	260.7
7.211	258.4
7.328	260.1
7.424	260.4
7.521	259.7
7.617	259.2
7.714	260.8
7.813	259.6
7.915	259.3
8.017	258.3
8.118	261.3
8.174	260.7
8.315	261.8
8.412	259.0
8.508	260.9
8.599	260.4
8.697	259.3
8.772	262.0
8.883	263.7
8.974	263.8
9.067	265.2
9.171	260.6
9.224	260.9
9.310	263.0
9.399	263.8
9.604	264.4
9.657	264.2
9.776	264.0
9.846	263.4
9.931	265.7
10.001	264.9
10.093	267.5
10.192	266.9
10.263	266.0
10.370	265.1
10.458	267.6
10.550	264.8
10.640	264.8
10.712	265.0
10.732	265.3
10.785	264.4
10.822	264.1
10.896	264.2
10.952	264.5
11.008	264.0
11.066	263.0
11.099	265.2
11.144	258.8
11.195	260.8
11.263	255.4
11.310	253.9
11.349	253.8
11.468	250.7
11.515	249.7
11.554	251.1
11.602	250.7
11.695	245.3
11.784	245.3
11.838	246.6
11.941	243.2
12.017	240.3
12.258	237.5
12.372	237.6
12.511	234.2
12.625	238.3
12.789	237.3
12.927	237.9
13.068	237.6
13.252	236.4
13.332	239.2
13.440	238.6
13.574	238.6
13.711	239.1
14.022	228.5
14.230	228.4
14.387	226.1
14.532	225.2
14.647	224.5
14.855	222.0
15.037	221.0
15.166	220.9
15.323	219.4
15.466	214.0
15.637	207.5
15.818	207.7
16.002	202.9
16.199	200.8
16.400	195.2
16.616	193.9
16.883	191.0
