taxID,superkingdom,phylum,class,order,family,genus,species
32,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Spe_in_Myxococcus
1049,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,Allochromatium vinosum
71,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Spe_in_Simonsiella
118,Bacteria,Planctomycetota,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Spe_in_Planctomyces
206,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum
67572,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,Spe_in_Psychromonas
959,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus
358,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
885864,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Jeongeupia,Spe_in_Jeongeupia
1050,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thermochromatium,Thermochromatium tepidum
34725,Eukaryota,Arthropoda,Insecta,Hymenoptera,Fam_in_Vespoidea,Gen_in_Vespoidea,Spe_in_Vespoidea
33840,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Coscinodiscophycidae,Fam_in_Coscinodiscophycidae,Gen_in_Coscinodiscophycidae,Spe_in_Coscinodiscophycidae
2070,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Gen_in_Pseudonocardiaceae,Spe_in_Pseudonocardiaceae
194,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Spe_in_Campylobacter
33085,Eukaryota,Evosea,Cla_Archamoebae,Mastigamoebida,Entamoebidae,Entamoeba,Entamoeba invadens
1768,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium kansasii
517,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Spe_in_Bordetella
1442574,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas sp. CCMP2099
34073,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus
198613,Eukaryota,Ciliophora,Oligohymenophorea,Philasterida,Fam_in_Philasterida,Gen_in_Philasterida,Spe_in_Philasterida
454,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis
1245526,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas guangdongensis
1408,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus pumilus
2785912,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter sp. B30-2
231454,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella,Spe_in_Dyella
33052,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Sphingopyxis terrae
426659,Eukaryota,Bacillariophyta,Fragilariophyceae,Tabellariales,Fam_in_Tabellariales,Gen_in_Tabellariales,Spe_in_Tabellariales
1021,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,Spe_in_Beggiatoa
230516,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros curvisetus
31,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Gen_in_Myxococcaceae,Spe_in_Myxococcaceae
2820278,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Hyphomicrobiaceae,Aquabacter,Aquabacter sp. L1I39
1263,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Spe_in_Ruminococcus
