taxID,superkingdom,phylum,class,order,family,genus,species
33345,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Heteroptera,Gen_in_Heteroptera,Spe_in_Heteroptera
32,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,Spe_in_Myxococcus
983544,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix sp. 5H-3-7-4
1049,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,Allochromatium vinosum
71,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,Spe_in_Simonsiella
118,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Spe_in_Planctomyces
206,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter sputorum
959,Bacteria,Proteobacteria,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,Bdellovibrio bacteriovorus
358,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens
885864,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Jeongeupia,Spe_in_Jeongeupia
1050,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thermochromatium,Thermochromatium tepidum
33840,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Ord_in_Coscinodiscophycidae,Fam_in_Coscinodiscophycidae,Gen_in_Coscinodiscophycidae,Spe_in_Coscinodiscophycidae
898,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfomicrobiaceae,Desulfomicrobium,Spe_in_Desulfomicrobium
437,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidomonas,Acidomonas methanolica
194,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Spe_in_Campylobacter
517,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,Spe_in_Bordetella
1442574,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,Micromonas sp. CCMP2099
34073,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,Variovorax paradoxus
451,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,Tatlockia micdadei
454,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis
66219,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phytofermentans
33047,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Bartonellaceae,Bartonella,Bartonella vinsonii
2785912,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Sulfitobacter,Sulfitobacter sp. B30-2
426659,Eukaryota,Bacillariophyta,Fragilariophyceae,Tabellariales,Fam_in_Tabellariales,Gen_in_Tabellariales,Spe_in_Tabellariales
846,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,Spe_in_Oxalobacter
1257,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Peptostreptococcus,Spe_in_Peptostreptococcus
1021,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Beggiatoa,Spe_in_Beggiatoa
230516,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros curvisetus
31,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Gen_in_Myxococcaceae,Spe_in_Myxococcaceae
1263,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Spe_in_Ruminococcus
33988,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Gen_in_Rickettsieae,Spe_in_Rickettsieae
1296,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri
721162,Eukaryota,Arthropoda,Insecta,Lepidoptera,Drepanidae,Thyatira,Spe_in_Thyatira
1737405,Bacteria,Firmicutes,Tissierellia,Tissierellales,Fam_in_Tissierellales,Gen_in_Tissierellales,Spe_in_Tissierellales
978,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,Spe_in_Cytophaga
728,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Avibacterium,Avibacterium paragallinarum
65598,Eukaryota,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,Bombus pascuorum
33377,Eukaryota,Arthropoda,Insecta,Hemiptera,Fam_in_Aleyrodoidea,Gen_in_Aleyrodoidea,Spe_in_Aleyrodoidea
1244,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc gelidum
2654218,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Azonexaceae,Dechloromonas,Dechloromonas sp. TW-R-39-2
948,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Anaplasma,Anaplasma phagocytophilum
29,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Fam_in_Myxococcales,Gen_in_Myxococcales,Spe_in_Myxococcales
196818,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Spe_in_unclassified Shewanella
164882,Eukaryota,Arthropoda,Insecta,Diptera,Tephritidae,Gen_in_Carpomyina,Spe_in_Carpomyina
1573488,Eukaryota,Phy_of_Dinophyceae,Dinophyceae,Gymnodiniales,Kareniaceae,Gen_unclassified Kareniaceae,Spe_in_unclassified Kareniaceae
675,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cincinnatiensis
2622466,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Dickeya,Spe_in_unclassified Dickeya
2720874,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Spe_in_Aspergillus subgen. Aspergillus
226,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Spe_in_Alteromonas
1704499,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylovulum,Methylovulum psychrotolerans
1162,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Nostocaceae,Gen_in_Nostocaceae,Spe_in_Nostocaceae
426418,Eukaryota,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pyrenophora,Pyrenophora tritici-repentis
861,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium ulcerans
382,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Sinorhizobium,Sinorhizobium meliloti
340,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas campestris
2621506,Bacteria,Proteobacteria,Gammaproteobacteria,Nevskiales,Sinobacteraceae,Sinimarinibacterium,Spe_in_unclassified Sinimarinibacterium
571,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella oxytoca
1190,Bacteria,Cyanobacteria,Cla_of_Nostocales,Nostocales,Hapalosiphonaceae,Fischerella,Spe_in_Fischerella
1212491,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella fallonii
99276,Bacteria,Candidatus Aminicenantes,Cla_of_environmental samples,Ord_of_environmental samples,Fam_of_environmental samples,Gen_environmental samples,Spe_in_environmental samples
33010,Bacteria,Actinobacteria,Actinomycetia,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium avidum
328813,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes onderdonkii
495,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria elongata
548,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella aerogenes
926,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Fam_of_Thiomonas,Thiomonas,Thiomonas intermedia
33392,Eukaryota,Arthropoda,Insecta,Ord_in_Endopterygota,Fam_in_Endopterygota,Gen_in_Endopterygota,Spe_in_Endopterygota
33090,Eukaryota,Phy_in_Viridiplantae,Cla_in_Viridiplantae,Ord_in_Viridiplantae,Fam_in_Viridiplantae,Gen_in_Viridiplantae,Spe_in_Viridiplantae
859,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium necrophorum
394221,Bacteria,Proteobacteria,Alphaproteobacteria,Maricaulales,Maricaulaceae,Maricaulis,Maricaulis maris
739,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis
876,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio,Desulfovibrio desulfuricans
